id,title,genre,point_avg
1.0,Toy Story (1995),Animation|Children's|Comedy,4.15
2.0,Jumanji (1995),Adventure|Children's|Fantasy,3.2
3.0,Grumpier Old Men (1995),Comedy|Romance,3.02
4.0,Waiting to Exhale (1995),Comedy|Drama,2.73
5.0,Father of the Bride Part II (1995),Comedy,3.01
6.0,Heat (1995),Action|Crime|Thriller,3.88
7.0,Sabrina (1995),Comedy|Romance,3.41
8.0,Tom and Huck (1995),Adventure|Children's,3.01
9.0,Sudden Death (1995),Action,2.66
10.0,GoldenEye (1995),Action|Adventure|Thriller,3.54
11.0,"American President, The (1995)",Comedy|Drama|Romance,3.79
12.0,Dracula: Dead and Loving It (1995),Comedy|Horror,2.36
13.0,Balto (1995),Animation|Children's,3.26
14.0,Nixon (1995),Drama,3.54
15.0,Cutthroat Island (1995),Action|Adventure|Romance,2.46
16.0,Casino (1995),Drama|Thriller,3.79
17.0,Sense and Sensibility (1995),Drama|Romance,4.03
18.0,Four Rooms (1995),Thriller,3.34
19.0,Ace Ventura: When Nature Calls (1995),Comedy,2.48
20.0,Money Train (1995),Action,2.54
21.0,Get Shorty (1995),Action|Comedy|Drama,3.62
22.0,Copycat (1995),Crime|Drama|Thriller,3.35
23.0,Assassins (1995),Thriller,2.86
24.0,Powder (1995),Drama|Sci-Fi,3.18
25.0,Leaving Las Vegas (1995),Drama|Romance,3.65
26.0,Othello (1995),Drama,3.53
27.0,Now and Then (1995),Drama,2.93
28.0,Persuasion (1995),Romance,4.06
29.0,"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.06
30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,3.65
31.0,Dangerous Minds (1995),Drama,3.11
32.0,Twelve Monkeys (1995),Drama|Sci-Fi,3.95
33.0,Wings of Courage (1995),Adventure|Romance,3.0
34.0,Babe (1995),Children's|Comedy|Drama,3.89
35.0,Carrington (1995),Drama|Romance,3.31
36.0,Dead Man Walking (1995),Drama,3.96
37.0,Across the Sea of Time (1995),Documentary,3.5
38.0,It Takes Two (1995),Comedy,2.82
39.0,Clueless (1995),Comedy|Romance,3.62
40.0,"Cry, the Beloved Country (1995)",Drama,3.93
41.0,Richard III (1995),Drama|War,3.96
42.0,Dead Presidents (1995),Action|Crime|Drama,2.87
43.0,Restoration (1995),Drama,3.45
44.0,Mortal Kombat (1995),Action|Adventure,2.79
45.0,To Die For (1995),Comedy|Drama,3.42
46.0,How to Make an American Quilt (1995),Drama|Romance,3.11
47.0,Seven (Se7en) (1995),Crime|Thriller,4.11
48.0,Pocahontas (1995),Animation|Children's|Musical|Romance,2.98
49.0,When Night Is Falling (1995),Drama|Romance,3.74
50.0,"Usual Suspects, The (1995)",Crime|Thriller,4.52
51.0,Guardian Angel (1994),Action|Drama|Thriller,
52.0,Mighty Aphrodite (1995),Comedy,3.64
53.0,Lamerica (1994),Drama,4.75
54.0,"Big Green, The (1995)",Children's|Comedy,2.56
55.0,Georgia (1995),Drama,3.07
56.0,Kids of the Round Table (1995),Adventure|Children's|Fantasy,2.0
57.0,Home for the Holidays (1995),Drama,3.4
58.0,"Postino, Il (The Postman) (1994)",Drama|Romance,4.09
59.0,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,2.75
60.0,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,3.21
61.0,Eye for an Eye (1996),Drama|Thriller,3.0
62.0,Mr. Holland's Opus (1995),Drama,3.7
63.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,2.86
64.0,Two if by Sea (1996),Comedy|Romance,2.27
65.0,Bio-Dome (1996),Comedy,2.06
66.0,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1.67
67.0,Two Bits (1995),Drama,3.25
68.0,French Twist (Gazon maudit) (1995),Comedy|Romance,3.45
69.0,Friday (1995),Comedy,3.66
70.0,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,3.16
71.0,Fair Game (1995),Action,2.1
72.0,Kicking and Screaming (1995),Comedy|Drama,3.63
73.0,"Mis?ables, Les (1995)",Drama|Musical,3.82
74.0,Bed of Roses (1996),Drama|Romance,2.97
75.0,Big Bully (1996),Comedy|Drama,1.92
76.0,Screamers (1995),Sci-Fi|Thriller,2.85
77.0,Nico Icon (1995),Documentary,3.76
78.0,"Crossing Guard, The (1995)",Drama,3.26
79.0,"Juror, The (1996)",Drama|Thriller,2.61
80.0,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,3.83
81.0,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,3.16
82.0,Antonia's Line (Antonia) (1995),Drama,3.88
83.0,Once Upon a Time... When We Were Colored (1995),Drama,3.7
84.0,Last Summer in the Hamptons (1995),Comedy|Drama,3.1
85.0,Angels and Insects (1995),Drama|Romance,3.4
86.0,White Squall (1996),Adventure|Drama,3.39
87.0,Dunston Checks In (1996),Children's|Comedy,2.21
88.0,Black Sheep (1996),Comedy,2.94
89.0,Nick of Time (1995),Action|Thriller,3.07
90.0,"Journey of August King, The (1995)",Drama,3.67
92.0,Mary Reilly (1996),Drama|Thriller,2.34
93.0,Vampire in Brooklyn (1995),Comedy|Romance,2.24
94.0,Beautiful Girls (1996),Drama,3.73
95.0,Broken Arrow (1996),Action|Thriller,2.88
96.0,In the Bleak Midwinter (1995),Comedy,3.92
97.0,"Hate (Haine, La) (1995)",Drama,3.75
98.0,Shopping (1994),Action|Thriller,2.0
99.0,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.46
100.0,City Hall (1996),Drama|Thriller,3.06
101.0,Bottle Rocket (1996),Comedy,3.87
102.0,Mr. Wrong (1996),Comedy,1.82
103.0,Unforgettable (1996),Thriller,3.21
104.0,Happy Gilmore (1996),Comedy,3.53
105.0,"Bridges of Madison County, The (1995)",Drama|Romance,3.23
106.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.58
107.0,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,3.15
108.0,Catwalk (1995),Documentary,2.86
109.0,Headless Body in Topless Bar (1995),Comedy,
110.0,Braveheart (1995),Action|Drama|War,4.23
111.0,Taxi Driver (1976),Drama|Thriller,4.18
112.0,Rumble in the Bronx (1995),Action|Adventure|Crime,3.44
113.0,Before and After (1996),Drama|Mystery,2.98
114.0,Margaret's Museum (1995),Drama,3.09
115.0,Happiness Is in the Field (1995),Comedy,
116.0,Anne Frank Remembered (1995),Documentary,4.1
117.0,"Young Poisoner's Handbook, The (1995)",Crime,3.63
118.0,If Lucy Fell (1996),Comedy|Romance,3.07
119.0,"Steal Big, Steal Little (1995)",Comedy,2.46
120.0,Race the Sun (1996),Drama,2.67
121.0,"Boys of St. Vincent, The (1993)",Drama,4.05
122.0,Boomerang (1992),Comedy|Romance,2.77
123.0,Chungking Express (1994),Drama|Mystery|Romance,3.87
124.0,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.21
125.0,Flirting With Disaster (1996),Comedy,3.83
126.0,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1.99
127.0,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1.0
128.0,Jupiter's Wife (1994),Documentary,4.33
129.0,Pie in the Sky (1995),Comedy|Romance,3.31
130.0,Angela (1995),Drama,4.0
131.0,Frankie Starlight (1995),Drama|Romance,3.06
132.0,Jade (1995),Thriller,2.49
133.0,Nueba Yol (1995),Comedy|Drama,1.0
134.0,Sonic Outlaws (1995),Documentary,4.0
135.0,Down Periscope (1996),Comedy,2.81
136.0,From the Journals of Jean Seberg (1995),Documentary,3.25
137.0,Man of the Year (1995),Documentary,3.0
138.0,"Neon Bible, The (1995)",Drama,2.5
139.0,Target (1995),Action|Drama,4.0
140.0,Up Close and Personal (1996),Drama|Romance,3.17
141.0,"Birdcage, The (1996)",Comedy,3.55
142.0,Shadows (Cienie) (1988),Drama,1.0
143.0,Gospa (1995),Drama,
144.0,"Brothers McMullen, The (1995)",Comedy,3.39
145.0,Bad Boys (1995),Action,3.3
146.0,"Amazing Panda Adventure, The (1995)",Adventure|Children's,2.89
147.0,"Basketball Diaries, The (1995)",Drama,3.54
148.0,"Awfully Big Adventure, An (1995)",Drama,2.78
149.0,Amateur (1994),Crime|Drama|Thriller,3.79
150.0,Apollo 13 (1995),Drama,4.07
151.0,Rob Roy (1995),Drama|Romance|War,3.59
152.0,"Addiction, The (1995)",Horror,3.0
153.0,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.64
154.0,Belle de jour (1967),Drama,3.73
155.0,Beyond Rangoon (1995),Drama|War,3.41
156.0,Blue in the Face (1995),Comedy,3.56
157.0,Canadian Bacon (1994),Comedy|War,2.73
158.0,Casper (1995),Adventure|Children's,2.98
159.0,Clockers (1995),Drama,3.28
160.0,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.24
161.0,Crimson Tide (1995),Drama|Thriller|War,3.72
162.0,Crumb (1994),Documentary,4.06
163.0,Desperado (1995),Action|Romance|Thriller,3.46
164.0,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.57
165.0,Die Hard: With a Vengeance (1995),Action|Thriller,3.56
166.0,"Doom Generation, The (1995)",Comedy|Drama,2.46
167.0,Feast of July (1995),Drama,3.6
168.0,First Knight (1995),Action|Adventure|Drama|Romance,2.95
169.0,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,2.02
170.0,Hackers (1995),Action|Crime|Thriller,3.15
171.0,Jeffrey (1995),Comedy,3.57
172.0,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.58
173.0,Judge Dredd (1995),Action|Adventure|Sci-Fi,2.31
174.0,Jury Duty (1995),Comedy,2.31
175.0,Kids (1995),Drama,3.48
176.0,Living in Oblivion (1995),Comedy,3.92
177.0,Lord of Illusions (1995),Horror,2.73
178.0,Love & Human Remains (1993),Comedy,3.47
179.0,Mad Love (1995),Drama|Romance,2.21
180.0,Mallrats (1995),Comedy,3.55
181.0,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1.61
182.0,Moonlight and Valentino (1995),Drama|Romance,3.14
183.0,Mute Witness (1994),Thriller,3.48
184.0,Nadja (1994),Drama,3.35
185.0,"Net, The (1995)",Sci-Fi|Thriller,2.87
186.0,Nine Months (1995),Comedy,2.76
187.0,Party Girl (1995),Comedy,3.24
188.0,"Prophecy, The (1995)",Horror,3.22
189.0,Reckless (1995),Comedy,3.4
190.0,Safe (1995),Thriller,3.75
