MovieID,rating,Genres
Toy Story (1995),4.15,Animation|Children's|Comedy
Jumanji (1995),3.2,Adventure|Children's|Fantasy
Grumpier Old Men (1995),3.02,Comedy|Romance
Waiting to Exhale (1995),2.73,Comedy|Drama
Father of the Bride Part II (1995),3.01,Comedy
Heat (1995),3.88,Action|Crime|Thriller
Sabrina (1995),3.41,Comedy|Romance
Tom and Huck (1995),3.01,Adventure|Children's
Sudden Death (1995),2.66,Action
GoldenEye (1995),3.54,Action|Adventure|Thriller
American President,3.79, The (1995)
Dracula: Dead and Loving It (1995),2.36,Comedy|Horror
Balto (1995),3.26,Animation|Children's
Nixon (1995),3.54,Drama
Cutthroat Island (1995),2.46,Action|Adventure|Romance
Casino (1995),3.79,Drama|Thriller
Sense and Sensibility (1995),4.03,Drama|Romance
Four Rooms (1995),3.34,Thriller
Ace Ventura: When Nature Calls (1995),2.48,Comedy
Money Train (1995),2.54,Action
Get Shorty (1995),3.62,Action|Comedy|Drama
Copycat (1995),3.35,Crime|Drama|Thriller
Assassins (1995),2.86,Thriller
Powder (1995),3.18,Drama|Sci-Fi
Leaving Las Vegas (1995),3.65,Drama|Romance
Othello (1995),3.53,Drama
Now and Then (1995),2.93,Drama
Persuasion (1995),4.06,Romance
City of Lost Children,4.06, The (1995)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.65,Drama
Dangerous Minds (1995),3.11,Drama
Twelve Monkeys (1995),3.95,Drama|Sci-Fi
Wings of Courage (1995),3.0,Adventure|Romance
Babe (1995),3.89,Children's|Comedy|Drama
Carrington (1995),3.31,Drama|Romance
Dead Man Walking (1995),3.96,Drama
Across the Sea of Time (1995),3.5,Documentary
It Takes Two (1995),2.82,Comedy
Clueless (1995),3.62,Comedy|Romance
Cry,3.93, the Beloved Country (1995)
Richard III (1995),3.96,Drama|War
Dead Presidents (1995),2.87,Action|Crime|Drama
Restoration (1995),3.45,Drama
Mortal Kombat (1995),2.79,Action|Adventure
To Die For (1995),3.42,Comedy|Drama
How to Make an American Quilt (1995),3.11,Drama|Romance
Seven (Se7en) (1995),4.11,Crime|Thriller
Pocahontas (1995),2.98,Animation|Children's|Musical|Romance
When Night Is Falling (1995),3.74,Drama|Romance
Usual Suspects,4.52, The (1995)
Guardian Angel (1994),3.64,Action|Drama|Thriller
Mighty Aphrodite (1995),4.75,Comedy
Lamerica (1994),2.56,Drama
Big Green,3.07, The (1995)
Georgia (1995),2.0,Drama
Kids of the Round Table (1995),3.4,Adventure|Children's|Fantasy
Home for the Holidays (1995),4.09,Drama
Postino,2.75, Il (The Postman) (1994)
